"Company","Location","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","LaunchAddress","LaunchCitystate","LaunchCountry"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/4/57","19:28:00",Sputnik 8K71PS,Sputnik-1,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","11/3/57","2:30:00",Sputnik 8K71PS,Sputnik-2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","12/6/57","16:44:00",Vanguard,Vanguard TV3,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA","2/1/58","3:48:00",Juno I,Explorer 1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","2/5/58","7:33:00",Vanguard,Vanguard TV3BU,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA","3/5/58","18:27:00",Juno I,Explorer 2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","3/17/58","12:15:00",Vanguard,Vanguard 1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","3/26/58","17:38:00",Juno I,Explorer 3,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/27/58","9:01:00",Sputnik 8A91,Sputnik-3 #1,Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","4/28/58","2:53:00",Vanguard,Vanguard TV5,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","5/15/58","7:12:00",Sputnik 8A91,Sputnik-3 #2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","5/28/58","3:46:00",Vanguard,Vanguard SLV-1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","6/26/58","5:00:00",Vanguard,Vanguard SLV-2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","7/25/58","",NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","7/26/58","15:00:00",Juno I,Explorer 4,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/12/58","",NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","8/17/58","12:18:00",Thor-DM 18 Able I,Pioneer 0,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/22/58","",NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","8/24/58","6:17:00",Juno I,Explorer 5,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/25/58","",NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/26/58","",NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/29/58","",NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,"",Failure, Naval Air Station Point Mugu, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","9/23/58","7:40:00",Vostok,E-1 n†­1 (Luna-1),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","9/26/58","15:38:00",Vanguard,Vanguard SLV-3,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
